"","name","full_name","lat","long","depth","tect","region","eigen_C","betweenness_C"
"AlSF","AlSF","Alice Springs Field",18.2103,144.7073,3640,"back-arc spreading center","Mariana Trough",0.000988530119242337,0
"Arch","Arch","Archaean",12.939,143.632,3060,"back-arc spreading center","Mariana Trough",0.000988530119242376,0
"ByKc","ByKc","Bayonnaise Knoll caldera",31.9667,139.7333,900,"back-arc spreading center","Izu-Bonin back-arc",0.0422589510761426,10.0111111111111
"Burk","Burk","Burke",18.109,144.432,3660,"back-arc spreading center","Mariana Trough",0.000988530119242337,0
"Chmv","Chmv","Chamorro volcano",20.81,144.705,896,"arc volcano","Mariana Arc",0.0153928647265841,0.5
"Dkkv","Dkkv","Daikoku volcano",21.324,144.194,450,"arc volcano","Mariana Arc",0.00987659724233605,0
"DKK","DKK","Daisan-Kume Knoll",26.302,126.4125,1370,"arc volcano","Ryukyu Arc",0.947326888801221,146.22380952381
"EsDv","EsDv","East Diamante volcano",15.93,145.67,457,"arc volcano","Mariana Arc",0.0359046972382501,54.7
"Frcs","Frcs","Forecast",13.4,143.9166,1470,"back-arc spreading center","Mariana Trough",0.00398725718920509,182
"Ftgy","Ftgy","Futagoyama",24.8674,123.3081,1270,"back-arc spreading center","Okinawa Trough",1,79.5634920634921
"HfAd","HfAd","Hafa Adai",16.957,144.868,3294,"back-arc spreading center","Mariana Trough",0.000988530119242276,0
"Higa","Higa","Higa",26.555,126.2233,1485,"back-arc spreading center","Okinawa Trough",0.918684922511435,1.82063492063492
"HgE","HgE","Higashi-Ensei",28.4393,128.1724,1220,"back-arc spreading center","Okinawa Trough",0.936010122079142,0.25
"IznC","IznC","Izena Cauldron",27.2667,127.0833,1610,"back-arc spreading center","Okinawa Trough",0.936010122079141,0.25
"KktS","KktS","Kaikata Seamount",26.7,141.0833,930,"arc volcano","Izu-Bonin Arc",0.0365979307009271,28.3666666666667
"Ks2S","Ks2S","Kasuga 2 Seamount",21.6,143.6167,500,"arc volcano","Mariana Arc",0.00987659724233611,0
"MEK","MEK","Minami-Ensei Knoll",28.3917,127.6417,740,"back-arc spreading center","Okinawa Trough",0.769483968521834,0
"MkyS","MkyS","Mokuyo Seamount",28.32,140.58,1200,"arc volcano","Izu-Bonin Arc",0.024113312262566,0
"MyjK","MyjK","Myojin Knoll",32.1033,139.8683,1360,"arc volcano","Izu-Bonin Arc",0.124863785502314,164.927777777778
"MyjC","MyjC","Myojinsho Caldera",31.8833,139.95,1110,"arc volcano","Izu-Bonin Arc",0.127707662531913,85.8095238095238
"Nkkv","Nkkv","Nikko volcano",23.0833,142.3333,600,"arc volcano","Mariana Arc",0.0167178225973775,16.0833333333333
"NKIR","NKIR","North Knoll, Iheya Ridge",27.7908,126.8966,1100,"back-arc spreading center","Okinawa Trough",0.988425484461475,2.32063492063492
"NrtE","NrtE","Northwest Eifuku",21.485,144.043,1604,"arc volcano","Mariana Arc",0.0330865186885333,222.616666666667
"NRv","NRv","Northwest Rota-1 volcano",14.601,144.775,599,"arc volcano","Mariana Arc",0.0116105568222242,0
"Prsv","Prsv","Perseverance",15.4802,144.5077,3935,"back-arc spreading center","Mariana Trough",0.000988530119242287,0
"Pika","Pika","Pika",12.9183,143.6483,2990,"back-arc spreading center","Mariana Trough",0.000988530119242243,0
"Saka","Saka","Sakai",27.5481,126.9895,1600,"back-arc spreading center","Okinawa Trough",0.988425484461476,2.32063492063492
"SmnX","SmnX","Seamount X",13.25,144.02,1450,"arc volcano","Mariana Arc",0.0153928647265841,0.5
"Snal","Snal","Snail",12.9533,143.62,2880,"back-arc spreading center","Mariana Trough",0.00098853011924232,0
"SPHK","SPHK","SPOT, Hatoma Knoll",24.855,123.841,1520,"back-arc spreading center","Okinawa Trough",0.988425484461475,2.32063492063492
"SYKI","SYKI","SPOT, Yonaguni Knoll IV",24.849,122.7,1385,"back-arc spreading center","Okinawa Trough",0.936010122079142,0.25
"SySm","SySm","Suiyo Seamount",28.575,140.6417,1380,"arc volcano","Izu-Bonin Arc",0.0417321744339156,22.3444444444444
"SmsC","SmsC","Sumisu Caldera",31.4667,140.0667,690,"arc volcano","Izu-Bonin Arc",0,0
"TrmH","TrmH","Tarama Hill",25.45388,124.310103,1973,"back-arc spreading center","Okinawa Trough",0.57832601186036,0
"TrmK","TrmK","Tarama Knoll",25.0916,124.5416,1990,"back-arc spreading center","Okinawa Trough",0.918684922511435,1.82063492063492
