"","name","full_name","lat","long","depth","tect","region","eigen_C","betweenness_C"
"AlSF","AlSF","Alice Springs Field",18.2103,144.7073,3640,"back-arc spreading center","Mariana Trough",0.000105255533425123,0
"Arch","Arch","Archaean",12.939,143.632,3060,"back-arc spreading center","Mariana Trough",0.00010525553342503,0
"ByKc","ByKc","Bayonnaise Knoll caldera",31.9667,139.7333,900,"back-arc spreading center","Izu-Bonin back-arc",0.0127527711881952,54.4666666666667
"Burk","Burk","Burke",18.109,144.432,3660,"back-arc spreading center","Mariana Trough",0.000105255533425216,0
"Chmv","Chmv","Chamorro volcano",20.81,144.705,896,"arc volcano","Mariana Arc",0.00387106120587804,0.5
"Dkkv","Dkkv","Daikoku volcano",21.324,144.194,450,"arc volcano","Mariana Arc",0.00302638099644508,0
"DKK","DKK","Daisan-Kume Knoll",26.302,126.4125,1370,"arc volcano","Ryukyu Arc",0.941228825266239,0.222222222222222
"EsDv","EsDv","East Diamante volcano",15.93,145.67,457,"arc volcano","Mariana Arc",0.0142614656653566,114.033333333333
"Frcs","Frcs","Forecast",13.4,143.9166,1470,"back-arc spreading center","Mariana Trough",0.00053528414132662,182
"Ftgy","Ftgy","Futagoyama",24.8674,123.3081,1270,"back-arc spreading center","Okinawa Trough",1,252.993650793651
"HfAd","HfAd","Hafa Adai",16.957,144.868,3294,"back-arc spreading center","Mariana Trough",0.000105255533425216,0
"Higa","Higa","Higa",26.555,126.2233,1485,"back-arc spreading center","Okinawa Trough",0.926965121953894,0.571428571428571
"HgE","HgE","Higashi-Ensei",28.4393,128.1724,1220,"back-arc spreading center","Okinawa Trough",0.94122882526624,0.222222222222222
"IrbK","IrbK","Irabu Knoll",25.23,124.88,1850,"back-arc spreading center","Okinawa Trough",0.992152666351401,0.993650793650794
"IznC","IznC","Izena Cauldron",27.2667,127.0833,1610,"back-arc spreading center","Okinawa Trough",0.94122882526624,0.222222222222222
"KktS","KktS","Kaikata Seamount",26.7,141.0833,930,"arc volcano","Izu-Bonin Arc",0.0119289212767742,22.7333333333333
"Ks2S","Ks2S","Kasuga 2 Seamount",21.6,143.6167,500,"arc volcano","Mariana Arc",0.00302638099644504,0
"MEK","MEK","Minami-Ensei Knoll",28.3917,127.6417,740,"back-arc spreading center","Okinawa Trough",0.787828481194714,0
"MkyS","MkyS","Mokuyo Seamount",28.32,140.58,1200,"arc volcano","Izu-Bonin Arc",0.00273835796284633,0
"MyjC","MyjC","Myojinsho Caldera",31.8833,139.95,1110,"arc volcano","Izu-Bonin Arc",0.0948394820965428,260.333333333333
"Nkkv","Nkkv","Nikko volcano",23.0833,142.3333,600,"arc volcano","Mariana Arc",0.00433238349195438,16.9
"NKIR","NKIR","North Knoll, Iheya Ridge",27.7908,126.8966,1100,"back-arc spreading center","Okinawa Trough",0.9921526663514,0.993650793650794
"NrtE","NrtE","Northwest Eifuku",21.485,144.043,1604,"arc volcano","Mariana Arc",0.0051971398549323,206.133333333333
"NRv","NRv","Northwest Rota-1 volcano",14.601,144.775,599,"arc volcano","Mariana Arc",0.00284451931280536,0
"Prsv","Prsv","Perseverance",15.4802,144.5077,3935,"back-arc spreading center","Mariana Trough",0.000105255533425123,0
"Pika","Pika","Pika",12.9183,143.6483,2990,"back-arc spreading center","Mariana Trough",0.000105255533425216,0
"Saka","Saka","Sakai",27.5481,126.9895,1600,"back-arc spreading center","Okinawa Trough",0.9921526663514,0.993650793650794
"SmnX","SmnX","Seamount X",13.25,144.02,1450,"arc volcano","Mariana Arc",0.00387106120587799,0.5
"Snal","Snal","Snail",12.9533,143.62,2880,"back-arc spreading center","Mariana Trough",0.000105255533425216,0
"SPHK","SPHK","SPOT, Hatoma Knoll",24.855,123.841,1520,"back-arc spreading center","Okinawa Trough",0.992152666351401,0.993650793650794
"SYKI","SYKI","SPOT, Yonaguni Knoll IV",24.849,122.7,1385,"back-arc spreading center","Okinawa Trough",0.94122882526624,0.222222222222222
"SySm","SySm","Suiyo Seamount",28.575,140.6417,1380,"arc volcano","Izu-Bonin Arc",0.012406341548481,65.4
"SmsC","SmsC","Sumisu Caldera",31.4667,140.0667,690,"arc volcano","Izu-Bonin Arc",0,0
"TrmH","TrmH","Tarama Hill",25.45388,124.310103,1973,"back-arc spreading center","Okinawa Trough",0.615443529120843,0
"TrmK","TrmK","Tarama Knoll",25.0916,124.5416,1990,"back-arc spreading center","Okinawa Trough",0.926965121953894,0.571428571428571
